[True, False, True]
Run timestamp: 05102023_213259_9.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.015625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '100.0', '--lambda_l1_addon', '100.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_9']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8855; val_auprc_score: 0.9802; val_best_acc_score: 0.9181; val_best_f1_score: 0.9551; train_kl_reg_loss: 16670.3848; train_edge_recon_loss: 649107.6971; train_cat_covariates_contrastive_loss: 949008.6723; train_gene_expr_recon_loss: 2760750.2590; train_masked_gp_l1_reg_loss: 12969.5304; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 29976.6735; train_global_loss: 4418483.2160; train_optim_loss: 4418483.2160; val_kl_reg_loss: 18286.3446; val_edge_recon_loss: 650290.4248; val_cat_covariates_contrastive_loss: 952269.5345; val_gene_expr_recon_loss: 2522185.5455; val_masked_gp_l1_reg_loss: 13632.5498; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 16436.9453; val_global_loss: 4173101.3480; val_optim_loss: 4173101.3480
Epoch 12/400 |--------------------| 3.0% val_auroc_score: 0.9241; val_auprc_score: 0.9859; val_best_acc_score: 0.9322; val_best_f1_score: 0.9621; train_kl_reg_loss: 39241.9812; train_edge_recon_loss: 619460.7216; train_cat_covariates_contrastive_loss: 956330.7627; train_gene_expr_recon_loss: 2152608.1104; train_masked_gp_l1_reg_loss: 31671.1583; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 22758.8657; train_global_loss: 3822071.5987; train_optim_loss: 3822071.5987; val_kl_reg_loss: 38668.1135; val_edge_recon_loss: 645859.1237; val_cat_covariates_contrastive_loss: 956859.4977; val_gene_expr_recon_loss: 2134969.3187; val_masked_gp_l1_reg_loss: 23259.5879; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19247.9551; val_global_loss: 3818863.5478; val_optim_loss: 3818863.5478
Epoch 13/400 |--------------------| 3.2% val_auroc_score: 0.9232; val_auprc_score: 0.9859; val_best_acc_score: 0.9313; val_best_f1_score: 0.9617; train_kl_reg_loss: 375386.6071; train_edge_recon_loss: 621637.3413; train_cat_covariates_contrastive_loss: 956694.8949; train_gene_expr_recon_loss: 2132870.7067; train_masked_gp_l1_reg_loss: 22387.7786; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19048.2160; train_global_loss: 4128025.5385; train_optim_loss: 4128025.5385; val_kl_reg_loss: 46778.8453; val_edge_recon_loss: 644493.3222; val_cat_covariates_contrastive_loss: 956534.4545; val_gene_expr_recon_loss: 2126522.8484; val_masked_gp_l1_reg_loss: 22265.1680; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19037.4844; val_global_loss: 3815632.2176; val_optim_loss: 3815632.2176
Epoch 14/400 |--------------------| 3.5% val_auroc_score: 0.9248; val_auprc_score: 0.9865; val_best_acc_score: 0.9349; val_best_f1_score: 0.9639; train_kl_reg_loss: 12677336.9745; train_edge_recon_loss: 620645.8310; train_cat_covariates_contrastive_loss: 956836.3059; train_gene_expr_recon_loss: 2127129.2225; train_masked_gp_l1_reg_loss: 22770.4968; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19090.5578; train_global_loss: 16423809.8751; train_optim_loss: 16423809.8751; val_kl_reg_loss: 39906.5304; val_edge_recon_loss: 636962.6201; val_cat_covariates_contrastive_loss: 957425.0654; val_gene_expr_recon_loss: 2120948.0367; val_masked_gp_l1_reg_loss: 22961.7012; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19259.7500; val_global_loss: 3797463.7523; val_optim_loss: 3797463.7523
Epoch 15/400 |--------------------| 3.8% val_auroc_score: 0.9178; val_auprc_score: 0.9843; val_best_acc_score: 0.9349; val_best_f1_score: 0.9639; train_kl_reg_loss: 267388.1706; train_edge_recon_loss: 633383.5907; train_cat_covariates_contrastive_loss: 957387.9667; train_gene_expr_recon_loss: 2356733.2147; train_masked_gp_l1_reg_loss: 63409.2399; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 21752.1621; train_global_loss: 4300054.3545; train_optim_loss: 4300054.3545; val_kl_reg_loss: 43526.9802; val_edge_recon_loss: 642562.1336; val_cat_covariates_contrastive_loss: 956342.8235; val_gene_expr_recon_loss: 2168159.1887; val_masked_gp_l1_reg_loss: 29703.3809; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18808.7988; val_global_loss: 3859103.3789; val_optim_loss: 3859103.3789
Epoch 16/400 |--------------------| 4.0% val_auroc_score: 0.9182; val_auprc_score: 0.9848; val_best_acc_score: 0.9323; val_best_f1_score: 0.9623; train_kl_reg_loss: 45709.2990; train_edge_recon_loss: 623038.4496; train_cat_covariates_contrastive_loss: 957867.3665; train_gene_expr_recon_loss: 2153179.5433; train_masked_gp_l1_reg_loss: 23457.0462; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18799.3988; train_global_loss: 3822051.1049; train_optim_loss: 3822051.1049; val_kl_reg_loss: 45012.4918; val_edge_recon_loss: 643579.8372; val_cat_covariates_contrastive_loss: 956192.4950; val_gene_expr_recon_loss: 2142060.8827; val_masked_gp_l1_reg_loss: 21703.3633; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19311.9531; val_global_loss: 3827860.9660; val_optim_loss: 3827860.9660
Epoch 17/400 |--------------------| 4.2% val_auroc_score: 0.9259; val_auprc_score: 0.9866; val_best_acc_score: 0.9359; val_best_f1_score: 0.9644; train_kl_reg_loss: 46211.4126; train_edge_recon_loss: 622517.4187; train_cat_covariates_contrastive_loss: 958127.3407; train_gene_expr_recon_loss: 2138378.0805; train_masked_gp_l1_reg_loss: 22058.9999; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19014.0380; train_global_loss: 3806307.2920; train_optim_loss: 3806307.2920; val_kl_reg_loss: 46315.6284; val_edge_recon_loss: 638627.8458; val_cat_covariates_contrastive_loss: 956010.5176; val_gene_expr_recon_loss: 2128109.6373; val_masked_gp_l1_reg_loss: 22418.8379; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18973.9160; val_global_loss: 3810456.3812; val_optim_loss: 3810456.3812
Epoch 18/400 |--------------------| 4.5% val_auroc_score: 0.9164; val_auprc_score: 0.9838; val_best_acc_score: 0.9333; val_best_f1_score: 0.9629; train_kl_reg_loss: 97287.7180; train_edge_recon_loss: 620460.2162; train_cat_covariates_contrastive_loss: 957799.9984; train_gene_expr_recon_loss: 2129676.4702; train_masked_gp_l1_reg_loss: 22783.5578; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19124.1848; train_global_loss: 3847132.1389; train_optim_loss: 3847132.1389; val_kl_reg_loss: 49310.4172; val_edge_recon_loss: 653735.8539; val_cat_covariates_contrastive_loss: 955338.6603; val_gene_expr_recon_loss: 2125116.3368; val_masked_gp_l1_reg_loss: 22669.8906; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19091.6445; val_global_loss: 3825263.0185; val_optim_loss: 3825263.0185

Reducing learning rate: metric has not improved more than 0.0 in the last 4 epochs.
New learning rate is 0.0001.

Epoch 19/400 |--------------------| 4.8% val_auroc_score: 0.9269; val_auprc_score: 0.9867; val_best_acc_score: 0.9353; val_best_f1_score: 0.9640; train_kl_reg_loss: 46235.3274; train_edge_recon_loss: 618624.8271; train_cat_covariates_contrastive_loss: 957606.1871; train_gene_expr_recon_loss: 2108172.8268; train_masked_gp_l1_reg_loss: 19877.4144; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 13929.4110; train_global_loss: 3764445.9960; train_optim_loss: 3764445.9960; val_kl_reg_loss: 44924.2552; val_edge_recon_loss: 639002.6535; val_cat_covariates_contrastive_loss: 956954.3781; val_gene_expr_recon_loss: 2105718.8758; val_masked_gp_l1_reg_loss: 19977.6602; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 13809.7197; val_global_loss: 3780387.6582; val_optim_loss: 3780387.6582
Epoch 20/400 |█-------------------| 5.0% val_auroc_score: 0.9261; val_auprc_score: 0.9866; val_best_acc_score: 0.9356; val_best_f1_score: 0.9642; train_kl_reg_loss: 44605.3324; train_edge_recon_loss: 619754.4125; train_cat_covariates_contrastive_loss: 957317.6296; train_gene_expr_recon_loss: 2102847.8740; train_masked_gp_l1_reg_loss: 20095.6592; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 13802.6417; train_global_loss: 3758423.5497; train_optim_loss: 3758423.5497; val_kl_reg_loss: 42590.8930; val_edge_recon_loss: 634893.3549; val_cat_covariates_contrastive_loss: 957483.7677; val_gene_expr_recon_loss: 2101536.8584; val_masked_gp_l1_reg_loss: 20212.6621; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 13789.1787; val_global_loss: 3770506.8727; val_optim_loss: 3770506.8727
Epoch 21/400 |█-------------------| 5.2% val_auroc_score: 0.9271; val_auprc_score: 0.9866; val_best_acc_score: 0.9363; val_best_f1_score: 0.9646; train_kl_reg_loss: 42114.5606; train_edge_recon_loss: 618783.9336; train_cat_covariates_contrastive_loss: 957137.6759; train_gene_expr_recon_loss: 2099802.3545; train_masked_gp_l1_reg_loss: 20271.4522; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 13816.2497; train_global_loss: 3751926.2226; train_optim_loss: 3751926.2226; val_kl_reg_loss: 42245.8430; val_edge_recon_loss: 639541.3828; val_cat_covariates_contrastive_loss: 956853.0565; val_gene_expr_recon_loss: 2100269.1863; val_masked_gp_l1_reg_loss: 20348.4570; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 13824.7676; val_global_loss: 3773082.7238; val_optim_loss: 3773082.7238
