[True, False, True]
Run timestamp: 05102023_213259_5.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '5', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.0078125', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_5']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8675; val_auprc_score: 0.9748; val_best_acc_score: 0.9163; val_best_f1_score: 0.9540; train_kl_reg_loss: 15963.4757; train_edge_recon_loss: 644045.5619; train_cat_covariates_contrastive_loss: 949030.1912; train_gene_expr_recon_loss: 2633649.8581; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4242689.0904; train_optim_loss: 4242689.0904; val_kl_reg_loss: 18922.5707; val_edge_recon_loss: 656817.9051; val_cat_covariates_contrastive_loss: 948043.2450; val_gene_expr_recon_loss: 2310336.0386; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3934119.7554; val_optim_loss: 3934119.7554
Epoch 12/400 |--------------------| 3.0% val_auroc_score: 0.9282; val_auprc_score: 0.9866; val_best_acc_score: 0.9401; val_best_f1_score: 0.9667; train_kl_reg_loss: 23230.1192; train_edge_recon_loss: 608630.6765; train_cat_covariates_contrastive_loss: 948729.8768; train_gene_expr_recon_loss: 1947954.3582; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3528545.0303; train_optim_loss: 3528545.0303; val_kl_reg_loss: 22558.3167; val_edge_recon_loss: 635871.2199; val_cat_covariates_contrastive_loss: 950406.1649; val_gene_expr_recon_loss: 1954733.9255; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3563569.6204; val_optim_loss: 3563569.6204
Epoch 13/400 |--------------------| 3.2% val_auroc_score: 0.9285; val_auprc_score: 0.9868; val_best_acc_score: 0.9393; val_best_f1_score: 0.9663; train_kl_reg_loss: 23391.5061; train_edge_recon_loss: 610955.3965; train_cat_covariates_contrastive_loss: 948727.8340; train_gene_expr_recon_loss: 1945372.8511; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3528447.5886; train_optim_loss: 3528447.5886; val_kl_reg_loss: 23273.7367; val_edge_recon_loss: 627004.7022; val_cat_covariates_contrastive_loss: 949925.2348; val_gene_expr_recon_loss: 1938744.3036; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3538947.9715; val_optim_loss: 3538947.9715
Epoch 14/400 |--------------------| 3.5% val_auroc_score: 0.9249; val_auprc_score: 0.9857; val_best_acc_score: 0.9415; val_best_f1_score: 0.9675; train_kl_reg_loss: 23539.2084; train_edge_recon_loss: 610370.7349; train_cat_covariates_contrastive_loss: 948690.6354; train_gene_expr_recon_loss: 1938789.6681; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3521390.2479; train_optim_loss: 3521390.2479; val_kl_reg_loss: 24621.8798; val_edge_recon_loss: 629735.4932; val_cat_covariates_contrastive_loss: 947280.2267; val_gene_expr_recon_loss: 1939246.2091; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3540883.8040; val_optim_loss: 3540883.8040
Epoch 15/400 |--------------------| 3.8% val_auroc_score: 0.9331; val_auprc_score: 0.9879; val_best_acc_score: 0.9414; val_best_f1_score: 0.9674; train_kl_reg_loss: 23469.1630; train_edge_recon_loss: 608777.5193; train_cat_covariates_contrastive_loss: 948719.5310; train_gene_expr_recon_loss: 1934504.2690; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3515470.4829; train_optim_loss: 3515470.4829; val_kl_reg_loss: 22631.3460; val_edge_recon_loss: 628835.8347; val_cat_covariates_contrastive_loss: 950663.2766; val_gene_expr_recon_loss: 1937138.5656; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3539269.0231; val_optim_loss: 3539269.0231
Epoch 16/400 |--------------------| 4.0% val_auroc_score: 0.9268; val_auprc_score: 0.9861; val_best_acc_score: 0.9392; val_best_f1_score: 0.9663; train_kl_reg_loss: 23550.2075; train_edge_recon_loss: 609336.7168; train_cat_covariates_contrastive_loss: 948727.0253; train_gene_expr_recon_loss: 1935404.3567; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3517018.3033; train_optim_loss: 3517018.3033; val_kl_reg_loss: 23486.2601; val_edge_recon_loss: 627406.4091; val_cat_covariates_contrastive_loss: 948636.0828; val_gene_expr_recon_loss: 1928899.1427; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3528427.8897; val_optim_loss: 3528427.8897
Epoch 17/400 |--------------------| 4.2% val_auroc_score: 0.9299; val_auprc_score: 0.9869; val_best_acc_score: 0.9398; val_best_f1_score: 0.9666; train_kl_reg_loss: 23593.8425; train_edge_recon_loss: 607472.8334; train_cat_covariates_contrastive_loss: 948711.3791; train_gene_expr_recon_loss: 1929101.3482; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3508879.4018; train_optim_loss: 3508879.4018; val_kl_reg_loss: 23391.2784; val_edge_recon_loss: 628949.8797; val_cat_covariates_contrastive_loss: 949512.9126; val_gene_expr_recon_loss: 1933125.0282; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3534979.1111; val_optim_loss: 3534979.1111
Epoch 18/400 |--------------------| 4.5% val_auroc_score: 0.9265; val_auprc_score: 0.9861; val_best_acc_score: 0.9401; val_best_f1_score: 0.9668; train_kl_reg_loss: 5419709119568.1025; train_edge_recon_loss: 612213.7332; train_cat_covariates_contrastive_loss: 948956.1768; train_gene_expr_recon_loss: 2117984.7423; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 5419712794487.4473; train_optim_loss: 5419712794487.4473; val_kl_reg_loss: 26433.9611; val_edge_recon_loss: 628944.6174; val_cat_covariates_contrastive_loss: 948709.9315; val_gene_expr_recon_loss: 2031545.2176; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3635633.7276; val_optim_loss: 3635633.7276
Epoch 19/400 |--------------------| 4.8% val_auroc_score: 0.9273; val_auprc_score: 0.9862; val_best_acc_score: 0.9403; val_best_f1_score: 0.9669; train_kl_reg_loss: 25751.7830; train_edge_recon_loss: 607924.3714; train_cat_covariates_contrastive_loss: 949549.8464; train_gene_expr_recon_loss: 2010493.5061; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3593719.5021; train_optim_loss: 3593719.5021; val_kl_reg_loss: 26407.4565; val_edge_recon_loss: 627579.8052; val_cat_covariates_contrastive_loss: 948573.9416; val_gene_expr_recon_loss: 1990819.4923; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3593380.6929; val_optim_loss: 3593380.6929
Epoch 20/400 |█-------------------| 5.0% val_auroc_score: 0.9204; val_auprc_score: 0.9845; val_best_acc_score: 0.9372; val_best_f1_score: 0.9651; train_kl_reg_loss: 25788.8828; train_edge_recon_loss: 611803.2044; train_cat_covariates_contrastive_loss: 949482.6095; train_gene_expr_recon_loss: 1980186.5320; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3567261.2292; train_optim_loss: 3567261.2292; val_kl_reg_loss: 27510.8730; val_edge_recon_loss: 630923.4846; val_cat_covariates_contrastive_loss: 947873.3787; val_gene_expr_recon_loss: 1972034.2230; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3578341.9552; val_optim_loss: 3578341.9552

Reducing learning rate: metric has not improved more than 0.0 in the last 4 epochs.
New learning rate is 0.0001.

Epoch 21/400 |█-------------------| 5.2% val_auroc_score: 0.9326; val_auprc_score: 0.9872; val_best_acc_score: 0.9425; val_best_f1_score: 0.9680; train_kl_reg_loss: 26201.7627; train_edge_recon_loss: 605922.0766; train_cat_covariates_contrastive_loss: 949519.8669; train_gene_expr_recon_loss: 1942468.5859; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3524112.2917; train_optim_loss: 3524112.2917; val_kl_reg_loss: 26042.9751; val_edge_recon_loss: 627850.0325; val_cat_covariates_contrastive_loss: 949816.0554; val_gene_expr_recon_loss: 1941164.5694; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3544873.6358; val_optim_loss: 3544873.6358
Epoch 22/400 |█-------------------| 5.5% val_auroc_score: 0.9311; val_auprc_score: 0.9869; val_best_acc_score: 0.9415; val_best_f1_score: 0.9675; train_kl_reg_loss: 26181.7436; train_edge_recon_loss: 607806.1881; train_cat_covariates_contrastive_loss: 949474.5397; train_gene_expr_recon_loss: 1935034.4454; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3518496.9181; train_optim_loss: 3518496.9181; val_kl_reg_loss: 25999.8928; val_edge_recon_loss: 634100.2086; val_cat_covariates_contrastive_loss: 949627.0376; val_gene_expr_recon_loss: 1934875.5787; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3544602.7215; val_optim_loss: 3544602.7215
