[True, False, True]
Run timestamp: 05102023_213300_18.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '15', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.015625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '100.0', '--lambda_l1_addon', '100.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_18']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 48, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 48, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8960; val_auprc_score: 0.9817; val_best_acc_score: 0.9225; val_best_f1_score: 0.9573; train_kl_reg_loss: 14665.9071; train_edge_recon_loss: 638367.8464; train_cat_covariates_contrastive_loss: 948387.2641; train_gene_expr_recon_loss: 2763279.1941; train_masked_gp_l1_reg_loss: 11008.1240; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 29121.2152; train_global_loss: 4404829.5538; train_optim_loss: 4404829.5538; val_kl_reg_loss: 19174.2792; val_edge_recon_loss: 648711.5632; val_cat_covariates_contrastive_loss: 948522.9394; val_gene_expr_recon_loss: 2526776.7785; val_masked_gp_l1_reg_loss: 12074.3916; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 16342.8877; val_global_loss: 4171603.0532; val_optim_loss: 4171603.0532
Epoch 12/400 |--------------------| 3.0% val_auroc_score: 0.9180; val_auprc_score: 0.9839; val_best_acc_score: 0.9359; val_best_f1_score: 0.9644; train_kl_reg_loss: 32230.1914; train_edge_recon_loss: 617436.3688; train_cat_covariates_contrastive_loss: 955392.9247; train_gene_expr_recon_loss: 2107546.6192; train_masked_gp_l1_reg_loss: 24227.1569; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19393.8885; train_global_loss: 3756227.1510; train_optim_loss: 3756227.1510; val_kl_reg_loss: 33887.2711; val_edge_recon_loss: 648151.2970; val_cat_covariates_contrastive_loss: 951989.0538; val_gene_expr_recon_loss: 2105811.3661; val_masked_gp_l1_reg_loss: 24420.7051; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19389.2578; val_global_loss: 3783648.9931; val_optim_loss: 3783648.9931
Epoch 13/400 |--------------------| 3.2% val_auroc_score: 0.9204; val_auprc_score: 0.9851; val_best_acc_score: 0.9356; val_best_f1_score: 0.9642; train_kl_reg_loss: 32835.9146; train_edge_recon_loss: 621380.2748; train_cat_covariates_contrastive_loss: 955196.2193; train_gene_expr_recon_loss: 2156965.2848; train_masked_gp_l1_reg_loss: 35964.6420; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 20362.4457; train_global_loss: 3822704.7787; train_optim_loss: 3822704.7787; val_kl_reg_loss: 35434.5227; val_edge_recon_loss: 639825.1492; val_cat_covariates_contrastive_loss: 953782.8046; val_gene_expr_recon_loss: 2132099.4630; val_masked_gp_l1_reg_loss: 36188.5664; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19306.9102; val_global_loss: 3816637.4429; val_optim_loss: 3816637.4429
Epoch 14/400 |--------------------| 3.5% val_auroc_score: 0.9285; val_auprc_score: 0.9870; val_best_acc_score: 0.9354; val_best_f1_score: 0.9640; train_kl_reg_loss: 34732.5873; train_edge_recon_loss: 619610.3505; train_cat_covariates_contrastive_loss: 955910.0700; train_gene_expr_recon_loss: 2110919.0464; train_masked_gp_l1_reg_loss: 27505.6522; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19376.5735; train_global_loss: 3768054.2798; train_optim_loss: 3768054.2798; val_kl_reg_loss: 33838.7479; val_edge_recon_loss: 637572.3608; val_cat_covariates_contrastive_loss: 958403.7560; val_gene_expr_recon_loss: 2107829.4506; val_masked_gp_l1_reg_loss: 25218.6465; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19451.5684; val_global_loss: 3782314.5687; val_optim_loss: 3782314.5687
Epoch 15/400 |--------------------| 3.8% val_auroc_score: 0.9150; val_auprc_score: 0.9835; val_best_acc_score: 0.9307; val_best_f1_score: 0.9614; train_kl_reg_loss: 34848.4286; train_edge_recon_loss: 618813.9760; train_cat_covariates_contrastive_loss: 956413.6833; train_gene_expr_recon_loss: 2101400.2675; train_masked_gp_l1_reg_loss: 24402.9734; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19389.2053; train_global_loss: 3755268.5307; train_optim_loss: 3755268.5307; val_kl_reg_loss: 37140.9583; val_edge_recon_loss: 646754.9687; val_cat_covariates_contrastive_loss: 952912.5980; val_gene_expr_recon_loss: 2095864.4417; val_masked_gp_l1_reg_loss: 24378.8672; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19407.4395; val_global_loss: 3776459.2191; val_optim_loss: 3776459.2191
Epoch 16/400 |--------------------| 4.0% val_auroc_score: 0.9218; val_auprc_score: 0.9857; val_best_acc_score: 0.9341; val_best_f1_score: 0.9634; train_kl_reg_loss: 33826.8144; train_edge_recon_loss: 626721.2033; train_cat_covariates_contrastive_loss: 955310.3449; train_gene_expr_recon_loss: 2302944.2903; train_masked_gp_l1_reg_loss: 60526.4893; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 24818.7600; train_global_loss: 4004147.9035; train_optim_loss: 4004147.9035; val_kl_reg_loss: 33531.3815; val_edge_recon_loss: 635407.1019; val_cat_covariates_contrastive_loss: 955568.3366; val_gene_expr_recon_loss: 2219677.6921; val_masked_gp_l1_reg_loss: 60529.3633; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19786.6113; val_global_loss: 3924500.2670; val_optim_loss: 3924500.2670
Epoch 17/400 |--------------------| 4.2% val_auroc_score: 0.9266; val_auprc_score: 0.9866; val_best_acc_score: 0.9363; val_best_f1_score: 0.9646; train_kl_reg_loss: 36050.9559; train_edge_recon_loss: 619432.9301; train_cat_covariates_contrastive_loss: 956612.4936; train_gene_expr_recon_loss: 2148565.7779; train_masked_gp_l1_reg_loss: 37249.3954; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19116.2560; train_global_loss: 3817027.8081; train_optim_loss: 3817027.8081; val_kl_reg_loss: 36028.0105; val_edge_recon_loss: 636504.0721; val_cat_covariates_contrastive_loss: 957948.1707; val_gene_expr_recon_loss: 2115583.6593; val_masked_gp_l1_reg_loss: 26724.7930; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19104.3242; val_global_loss: 3791892.9205; val_optim_loss: 3791892.9205
Epoch 18/400 |--------------------| 4.5% val_auroc_score: 0.9271; val_auprc_score: 0.9865; val_best_acc_score: 0.9371; val_best_f1_score: 0.9650; train_kl_reg_loss: 38772.8697; train_edge_recon_loss: 621490.8154; train_cat_covariates_contrastive_loss: 957154.7780; train_gene_expr_recon_loss: 2109677.9094; train_masked_gp_l1_reg_loss: 24624.5686; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19262.7271; train_global_loss: 3770983.6696; train_optim_loss: 3770983.6696; val_kl_reg_loss: 38092.5960; val_edge_recon_loss: 641302.1502; val_cat_covariates_contrastive_loss: 956936.6375; val_gene_expr_recon_loss: 2103190.9178; val_masked_gp_l1_reg_loss: 23531.8672; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19214.6191; val_global_loss: 3782268.5502; val_optim_loss: 3782268.5502
Epoch 19/400 |--------------------| 4.8% val_auroc_score: 0.9211; val_auprc_score: 0.9852; val_best_acc_score: 0.9342; val_best_f1_score: 0.9634; train_kl_reg_loss: 177158.5713; train_edge_recon_loss: 661069.2441; train_cat_covariates_contrastive_loss: 958064.1100; train_gene_expr_recon_loss: 3239522.7432; train_masked_gp_l1_reg_loss: 97080.8633; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 57239.1912; train_global_loss: 5190134.7273; train_optim_loss: 5190134.7273; val_kl_reg_loss: 183975.9820; val_edge_recon_loss: 646514.4470; val_cat_covariates_contrastive_loss: 959931.2905; val_gene_expr_recon_loss: 2178728.1933; val_masked_gp_l1_reg_loss: 53117.7930; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 30252.5000; val_global_loss: 4052520.1721; val_optim_loss: 4052520.1721

Reducing learning rate: metric has not improved more than 0.0 in the last 4 epochs.
New learning rate is 0.0001.

Epoch 20/400 |█-------------------| 5.0% val_auroc_score: 0.9227; val_auprc_score: 0.9855; val_best_acc_score: 0.9344; val_best_f1_score: 0.9635; train_kl_reg_loss: 48447.2727; train_edge_recon_loss: 617183.4075; train_cat_covariates_contrastive_loss: 958874.8209; train_gene_expr_recon_loss: 2154245.2039; train_masked_gp_l1_reg_loss: 48069.7252; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 25518.9182; train_global_loss: 3852339.3525; train_optim_loss: 3852339.3525; val_kl_reg_loss: 46060.2934; val_edge_recon_loss: 640240.9668; val_cat_covariates_contrastive_loss: 958085.4306; val_gene_expr_recon_loss: 2148351.0779; val_masked_gp_l1_reg_loss: 42531.1406; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 23099.5508; val_global_loss: 3858368.5239; val_optim_loss: 3858368.5239
Epoch 21/400 |█-------------------| 5.2% val_auroc_score: 0.9264; val_auprc_score: 0.9864; val_best_acc_score: 0.9363; val_best_f1_score: 0.9645; train_kl_reg_loss: 44557.5197; train_edge_recon_loss: 618536.4546; train_cat_covariates_contrastive_loss: 958956.7654; train_gene_expr_recon_loss: 2134564.2650; train_masked_gp_l1_reg_loss: 35259.9319; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 20065.9292; train_global_loss: 3811940.8597; train_optim_loss: 3811940.8597; val_kl_reg_loss: 43727.3152; val_edge_recon_loss: 640390.2411; val_cat_covariates_contrastive_loss: 960094.4691; val_gene_expr_recon_loss: 2128033.4468; val_masked_gp_l1_reg_loss: 28315.7109; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 17184.7969; val_global_loss: 3817745.9707; val_optim_loss: 3817745.9707
